type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 02:46:27,-33.91796373,151.23150984,5.27,42.626,22.181,0.900,125,36,47,,
T,2023-10-13 02:46:28,-33.91796650,151.23151566,3.73,48.014,22.181,1.282,123,36,47,,
T,2023-10-13 02:46:29,-33.91796918,151.23152510,4.70,48.014,22.181,0.898,123,37,47,,
T,2023-10-13 02:46:30,-33.91795855,151.23153830,4.70,48.014,22.181,0.628,123,37,47,,
T,2023-10-13 02:46:31,-33.91794854,151.23155136,4.70,48.014,22.181,0.440,123,37,47,,
T,2023-10-13 02:46:32,-33.91794995,151.23156179,4.70,48.014,22.181,0.308,123,37,47,,
T,2023-10-13 02:46:33,-33.91794885,151.23157545,5.88,48.706,22.181,0.690,113,37,47,,
T,2023-10-13 02:46:34,-33.91794592,151.23158925,5.93,47.440,22.181,1.211,100,36,47,,
T,2023-10-13 02:46:35,-33.91793888,151.23160552,5.02,47.211,22.181,1.116,109,36,47,,
T,2023-10-13 02:46:36,-33.91793902,151.23161977,5.01,45.828,22.181,1.000,116,36,47,,
T,2023-10-13 02:46:37,-33.91794108,151.23162760,4.70,45.443,22.181,1.130,126,36,47,,
T,2023-10-13 02:46:38,-33.91794210,151.23163045,4.70,43.659,22.181,1.217,127,36,47,,
T,2023-10-13 02:46:39,-33.91793830,151.23163212,4.90,42.109,22.181,1.258,121,35,47,,
T,2023-10-13 02:46:40,-33.91793447,151.23163480,4.70,41.315,22.181,1.312,129,35,47,,
T,2023-10-13 02:46:41,-33.91793297,151.23164078,4.70,41.018,22.181,1.373,108,35,47,,
T,2023-10-13 02:46:42,-33.91793691,151.23165014,4.70,39.927,22.181,1.380,112,35,47,,
T,2023-10-13 02:46:43,-33.91793927,151.23166184,4.70,38.914,22.181,1.176,117,35,47,,
T,2023-10-13 02:46:44,-33.91794219,151.23167387,4.70,38.775,22.181,1.059,125,35,47,,
T,2023-10-13 02:46:45,-33.91794054,151.23168136,4.70,38.665,22.181,1.160,124,35,47,,
T,2023-10-13 02:46:46,-33.91793653,151.23168861,4.70,38.745,22.181,1.044,125,35,47,,
T,2023-10-13 02:46:47,-33.91793828,151.23169545,4.90,38.809,22.181,0.970,122,36,47,,
T,2023-10-13 02:46:48,-33.91794342,151.23170600,4.70,38.893,22.181,0.794,127,36,47,,
T,2023-10-13 02:46:49,-33.91794782,151.23171062,4.70,39.120,22.181,0.685,133,36,47,,
T,2023-10-13 02:46:50,-33.91795345,151.23171677,4.70,39.797,22.181,0.750,135,37,47,,
T,2023-10-13 02:46:51,-33.91796003,151.23172149,4.70,40.663,22.181,0.791,138,37,47,,
T,2023-10-13 02:46:52,-33.91796006,151.23172973,4.70,40.742,22.181,0.820,138,37,47,,
T,2023-10-13 02:46:53,-33.91796675,151.23174078,4.70,41.100,22.181,0.846,136,37,47,,
T,2023-10-13 02:46:54,-33.91797478,151.23175492,4.70,41.625,22.180,0.888,134,37,47,,
T,2023-10-13 02:46:55,-33.91798237,151.23176999,4.70,41.996,22.180,0.793,131,37,47,,
T,2023-10-13 02:46:56,-33.91798956,151.23178447,4.70,42.197,22.180,0.719,126,37,47,,
T,2023-10-13 02:46:57,-33.91799250,151.23179983,4.70,42.284,22.180,0.825,120,37,47,,
