type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 05:12:47,-33.91793586,151.23211914,4.90,62.714,22.180,0.003,37,37,46,,
T,2023-10-13 05:12:48,-33.91793586,151.23211914,4.90,62.714,22.180,0.002,36,37,46,,
T,2023-10-13 05:12:49,-33.91793586,151.23211914,4.90,62.714,22.180,0.002,36,37,46,,
T,2023-10-13 05:12:50,-33.91793586,151.23211914,4.90,62.714,22.180,0.001,36,37,46,,
T,2023-10-13 05:12:51,-33.91793586,151.23211914,4.90,62.714,22.180,0.001,36,37,46,,
T,2023-10-13 05:12:52,-33.91793586,151.23211914,4.90,62.714,22.180,0.001,37,37,46,,
T,2023-10-13 05:12:53,-33.91793586,151.23211914,4.70,62.714,22.180,0.000,37,36,46,,
T,2023-10-13 05:12:54,-33.91793586,151.23211914,4.90,62.714,22.180,0.000,36,36,46,,
T,2023-10-13 05:12:55,-33.91793586,151.23211914,4.90,62.714,22.180,0.000,36,35,46,,
T,2023-10-13 05:12:56,-33.91793586,151.23211914,4.90,62.714,22.180,0.000,35,36,46,,
T,2023-10-13 05:12:57,-33.91793586,151.23211914,4.90,62.714,22.180,0.000,35,37,46,,
T,2023-10-13 05:12:58,-33.91793586,151.23211914,4.90,62.714,22.180,0.000,29,37,46,,
T,2023-10-13 05:12:59,-33.91793586,151.23211914,4.90,62.714,22.180,0.116,310,37,46,,
T,2023-10-13 05:13:00,-33.91792856,151.23211811,4.70,62.959,22.180,0.360,260,37,46,,
T,2023-10-13 05:13:01,-33.91792856,151.23211811,4.90,62.959,22.180,0.580,243,37,46,,
T,2023-10-13 05:13:02,-33.91792856,151.23211811,4.90,62.959,22.180,0.562,243,35,46,,
T,2023-10-13 05:13:03,-33.91792856,151.23211811,4.90,62.959,22.180,0.394,257,35,46,,
T,2023-10-13 05:13:04,-33.91792856,151.23211811,4.90,62.959,22.180,0.276,257,35,46,,
T,2023-10-13 05:13:05,-33.91792856,151.23211811,4.90,62.959,22.180,0.309,335,35,46,,
T,2023-10-13 05:13:06,-33.91792856,151.23211811,4.90,62.959,22.180,0.473,55,36,46,,
T,2023-10-13 05:13:07,-33.91792856,151.23211811,4.90,62.959,22.180,0.471,55,36,46,,
T,2023-10-13 05:13:08,-33.91792856,151.23211811,4.90,62.959,22.180,0.330,44,36,46,,
T,2023-10-13 05:13:09,-33.91792856,151.23211811,4.90,62.959,22.180,0.231,44,36,46,,
T,2023-10-13 05:13:10,-33.91792856,151.23211811,4.90,62.959,22.180,0.162,43,36,46,,
T,2023-10-13 05:13:11,-33.91792856,151.23211811,4.90,62.959,22.180,0.113,43,36,46,,
T,2023-10-13 05:13:12,-33.91792856,151.23211811,4.90,62.959,22.180,0.079,44,36,46,,
T,2023-10-13 05:13:13,-33.91792856,151.23211811,4.90,62.959,22.180,0.055,44,37,46,,
T,2023-10-13 05:13:14,-33.91792856,151.23211811,4.90,62.959,22.180,0.039,44,39,46,,
T,2023-10-13 05:13:15,-33.91792856,151.23211811,4.90,62.959,22.180,0.027,44,38,46,,
T,2023-10-13 05:13:16,-33.91792856,151.23211811,4.90,62.959,22.180,0.019,44,38,46,,
T,2023-10-13 05:13:17,-33.91792856,151.23211811,4.90,62.959,22.180,0.013,44,38,46,,
T,2023-10-13 05:13:18,-33.91792856,151.23211811,4.90,62.959,22.180,0.009,45,38,46,,
T,2023-10-13 05:13:19,-33.91792856,151.23211811,4.90,62.959,22.180,0.007,45,38,46,,
T,2023-10-13 05:13:20,-33.91792856,151.23211811,4.90,62.959,22.180,0.005,45,38,46,,
T,2023-10-13 05:13:21,-33.91792856,151.23211811,4.90,62.959,22.180,0.003,45,38,46,,
T,2023-10-13 05:13:22,-33.91792856,151.23211811,4.90,62.959,22.180,0.002,45,38,46,,
T,2023-10-13 05:13:23,-33.91792856,151.23211811,4.90,62.959,22.180,0.002,45,38,46,,
T,2023-10-13 05:13:24,-33.91792856,151.23211811,4.90,62.959,22.180,0.001,45,38,46,,
T,2023-10-13 05:13:25,-33.91792856,151.23211811,4.90,62.959,22.180,0.001,45,39,46,,
T,2023-10-13 05:13:26,-33.91792856,151.23211811,4.90,62.959,22.180,0.001,45,39,46,,
T,2023-10-13 05:13:27,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,45,39,46,,
T,2023-10-13 05:13:28,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:29,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:30,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,45,37,46,,
T,2023-10-13 05:13:31,-33.91792856,151.23211811,4.76,62.959,22.180,0.000,45,37,46,,
T,2023-10-13 05:13:32,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:33,-33.91792856,151.23211811,4.73,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:34,-33.91792856,151.23211811,4.54,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:35,-33.91792856,151.23211811,4.74,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:36,-33.91792856,151.23211811,4.67,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:37,-33.91792856,151.23211811,4.67,62.959,22.180,0.000,45,39,46,,
T,2023-10-13 05:13:38,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,45,38,46,,
T,2023-10-13 05:13:39,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,45,37,46,,
T,2023-10-13 05:13:40,-33.91792856,151.23211811,4.90,62.959,22.180,0.000,40,36,46,,
T,2023-10-13 05:13:41,-33.91792856,151.23211811,4.90,62.959,22.180,0.116,25,36,46,,
T,2023-10-13 05:13:42,-33.91792856,151.23211811,4.90,62.959,22.180,0.197,25,36,46,,
T,2023-10-13 05:13:43,-33.91792856,151.23211811,4.90,62.959,22.180,0.211,21,36,46,,
T,2023-10-13 05:13:44,-33.91793119,151.23211595,4.70,62.600,22.180,0.211,37,36,46,,
T,2023-10-13 05:13:45,-33.91794203,151.23211409,4.70,62.412,22.180,0.277,275,34,46,,
T,2023-10-13 05:13:46,-33.91795434,151.23211942,4.70,62.548,22.180,0.496,218,34,46,,
T,2023-10-13 05:13:47,-33.91796455,151.23212598,4.70,62.744,22.180,0.766,123,34,46,,
T,2023-10-13 05:13:48,-33.91797855,151.23213058,3.86,62.407,22.180,0.949,128,36,46,,
T,2023-10-13 05:13:49,-33.91798084,151.23213633,2.95,62.470,22.180,0.796,134,37,46,,
T,2023-10-13 05:13:50,-33.91798107,151.23214121,2.21,62.513,22.180,0.707,136,38,46,,
T,2023-10-13 05:13:51,-33.91798829,151.23214697,1.60,62.645,22.180,0.811,174,38,46,,
T,2023-10-13 05:13:52,-33.91799070,151.23214672,2.00,62.747,22.180,0.726,177,38,46,,
T,2023-10-13 05:13:53,-33.91799595,151.23214281,2.42,62.932,22.180,0.655,178,38,46,,
T,2023-10-13 05:13:54,-33.91800182,151.23213972,2.58,62.974,22.180,0.755,179,38,46,,
T,2023-10-13 05:13:55,-33.91800659,151.23215076,2.86,62.956,22.180,0.806,179,38,46,,
T,2023-10-13 05:13:56,-33.91801012,151.23215405,3.25,63.203,22.180,0.693,183,38,46,,
T,2023-10-13 05:13:57,-33.91801513,151.23215704,3.09,63.173,22.180,0.612,182,38,46,,
T,2023-10-13 05:13:58,-33.91802261,151.23215919,3.01,63.066,22.180,0.557,183,38,46,,
T,2023-10-13 05:13:59,-33.91802797,151.23215993,3.10,62.946,22.180,0.521,174,38,46,,
T,2023-10-13 05:14:00,-33.91802909,151.23215980,3.04,62.697,22.180,0.485,176,39,46,,
T,2023-10-13 05:14:01,-33.91802909,151.23215980,2.80,62.697,22.180,0.340,176,40,46,,
T,2023-10-13 05:14:02,-33.91802909,151.23215980,2.93,62.697,22.180,0.238,176,42,46,,
T,2023-10-13 05:14:03,-33.91802909,151.23215980,2.93,62.697,22.180,0.167,170,41,46,,
T,2023-10-13 05:14:04,-33.91802909,151.23215980,2.83,62.697,22.180,0.117,170,41,46,,
T,2023-10-13 05:14:05,-33.91802909,151.23215980,2.69,62.697,22.180,0.082,170,41,46,,
T,2023-10-13 05:14:06,-33.91802909,151.23215980,2.77,62.697,22.180,0.057,170,41,46,,
T,2023-10-13 05:14:07,-33.91803310,151.23216760,2.94,62.678,22.180,0.161,164,41,46,,
T,2023-10-13 05:14:08,-33.91803813,151.23217066,3.15,62.686,22.180,0.230,163,41,46,,
T,2023-10-13 05:14:09,-33.91804330,151.23216647,3.43,62.256,22.180,0.314,164,41,46,,
T,2023-10-13 05:14:10,-33.91805133,151.23215996,3.80,62.036,22.179,0.518,185,42,46,,
T,2023-10-13 05:14:11,-33.91805994,151.23215821,3.98,61.724,22.179,0.505,185,42,46,,
T,2023-10-13 05:14:12,-33.91806360,151.23215106,4.02,61.154,22.179,0.481,189,42,46,,
T,2023-10-13 05:14:13,-33.91806540,151.23214411,4.08,60.856,22.179,0.603,209,42,46,,
T,2023-10-13 05:14:14,-33.91806540,151.23214411,4.06,60.424,22.179,0.556,211,42,46,,
T,2023-10-13 05:14:15,-33.91806220,151.23214160,4.05,60.089,22.179,0.511,229,42,46,,
T,2023-10-13 05:14:16,-33.91805559,151.23213886,4.16,59.811,22.180,0.476,232,43,46,,
T,2023-10-13 05:14:17,-33.91805116,151.23213274,4.25,59.666,22.180,0.390,258,43,46,,
T,2023-10-13 05:14:18,-33.91804898,151.23213292,4.25,59.378,22.180,0.474,298,43,46,,
T,2023-10-13 05:14:19,-33.91804530,151.23213881,4.31,59.467,22.180,0.606,238,44,47,,
T,2023-10-13 05:14:20,-33.91803410,151.23213939,4.98,59.451,22.180,0.692,243,44,47,,
T,2023-10-13 05:14:21,-33.91802343,151.23214171,4.70,59.584,22.180,0.785,247,44,47,,
T,2023-10-13 05:14:22,-33.91801132,151.23213582,4.70,59.626,22.180,0.730,273,44,47,,
T,2023-10-13 05:14:23,-33.91800425,151.23213044,4.70,59.382,22.180,0.688,284,44,47,,
T,2023-10-13 05:14:24,-33.91799754,151.23212387,4.70,59.034,22.180,0.832,299,44,47,,
T,2023-10-13 05:14:25,-33.91799122,151.23211989,4.73,58.818,22.180,0.923,305,45,47,,
T,2023-10-13 05:14:26,-33.91798768,151.23211505,4.51,58.460,22.180,0.991,293,45,47,,
T,2023-10-13 05:14:27,-33.91798418,151.23210457,4.03,58.221,22.180,1.000,293,45,47,,
T,2023-10-13 05:14:28,-33.91798331,151.23208945,4.18,58.179,22.180,1.015,306,45,47,,
T,2023-10-13 05:14:29,-33.91798232,151.23207284,4.11,57.979,22.180,1.078,304,45,47,,
T,2023-10-13 05:14:30,-33.91798381,151.23206012,4.13,57.847,22.180,0.929,301,45,47,,
T,2023-10-13 05:14:31,-33.91798338,151.23204706,4.00,57.598,22.180,0.797,298,45,47,,
T,2023-10-13 05:14:32,-33.91798082,151.23203580,3.91,57.394,22.180,0.884,297,45,47,,
T,2023-10-13 05:14:33,-33.91797765,151.23202673,3.57,57.105,22.180,0.977,297,45,47,,
T,2023-10-13 05:14:34,-33.91796907,151.23201616,3.99,56.813,22.180,1.026,300,45,47,,
T,2023-10-13 05:14:35,-33.91796376,151.23200776,4.16,56.423,22.180,1.014,293,45,47,,
T,2023-10-13 05:14:36,-33.91795899,151.23200218,4.06,56.094,22.180,1.016,291,45,47,,
T,2023-10-13 05:14:37,-33.91795618,151.23199470,4.24,55.879,22.180,1.041,258,45,47,,
T,2023-10-13 05:14:38,-33.91795184,151.23198442,4.43,55.580,22.180,1.067,292,44,47,,
T,2023-10-13 05:14:39,-33.91794980,151.23197620,4.20,55.404,22.180,0.916,297,45,47,,
T,2023-10-13 05:14:40,-33.91795172,151.23196529,4.24,55.014,22.180,0.810,281,45,47,,
T,2023-10-13 05:14:41,-33.91795395,151.23195468,4.54,54.685,22.180,0.918,277,45,47,,
T,2023-10-13 05:14:42,-33.91795430,151.23194294,4.60,54.303,22.180,0.985,283,45,47,,
T,2023-10-13 05:14:43,-33.91795537,151.23193387,4.54,53.990,22.180,1.020,288,45,47,,
T,2023-10-13 05:14:44,-33.91795537,151.23192744,4.43,53.743,22.180,1.041,269,45,47,,
T,2023-10-13 05:14:45,-33.91795477,151.23192348,4.40,53.437,22.180,1.028,270,45,47,,
T,2023-10-13 05:14:46,-33.91795183,151.23191647,4.13,53.104,22.180,1.024,261,44,47,,
T,2023-10-13 05:14:47,-33.91794551,151.23190411,4.08,52.817,22.180,1.053,267,44,47,,
T,2023-10-13 05:14:48,-33.91794091,151.23188803,4.14,52.547,22.180,1.104,276,44,47,,
T,2023-10-13 05:14:49,-33.91793877,151.23187123,4.26,52.295,22.180,1.133,270,43,47,,
T,2023-10-13 05:14:50,-33.91793607,151.23185287,4.38,52.144,22.180,0.978,271,43,47,,
T,2023-10-13 05:14:51,-33.91793629,151.23183590,4.59,51.955,22.181,1.066,269,43,47,,
T,2023-10-13 05:14:52,-33.91793506,151.23182662,4.48,51.727,22.181,1.278,271,43,47,,
T,2023-10-13 05:14:53,-33.91793868,151.23181502,4.40,51.688,22.181,1.046,270,43,47,,
T,2023-10-13 05:14:54,-33.91793575,151.23180504,4.38,51.442,22.181,0.883,271,43,48,,
T,2023-10-13 05:14:55,-33.91793214,151.23179575,4.09,51.312,22.181,0.952,270,44,48,,
T,2023-10-13 05:14:56,-33.91792332,151.23178356,3.85,51.035,22.181,1.021,266,45,49,,
T,2023-10-13 05:14:57,-33.91791974,151.23177151,3.67,50.833,22.181,1.030,267,45,49,,
T,2023-10-13 05:14:58,-33.91791527,151.23175941,3.64,50.622,22.181,0.868,269,45,49,,
T,2023-10-13 05:14:59,-33.91790939,151.23174699,3.52,50.425,22.181,0.784,278,45,49,,
T,2023-10-13 05:15:00,-33.91790525,151.23173563,3.52,50.235,22.181,0.895,279,45,49,,
T,2023-10-13 05:15:01,-33.91790780,151.23172206,3.71,50.105,22.181,0.954,274,45,49,,
T,2023-10-13 05:15:02,-33.91790495,151.23171275,3.85,50.015,22.181,0.822,274,45,49,,
T,2023-10-13 05:15:03,-33.91789831,151.23170543,3.95,49.784,22.181,0.727,276,45,49,,
T,2023-10-13 05:15:04,-33.91789945,151.23169725,4.30,49.574,22.181,0.833,275,45,49,,
T,2023-10-13 05:15:05,-33.91789830,151.23169071,4.54,49.069,22.181,0.936,276,45,49,,
T,2023-10-13 05:15:06,-33.91789808,151.23168234,4.52,48.900,22.181,1.014,276,45,49,,
T,2023-10-13 05:15:07,-33.91789501,151.23166986,4.50,48.639,22.181,1.088,273,45,49,,
T,2023-10-13 05:15:08,-33.91789325,151.23165705,4.50,48.398,22.181,1.136,271,45,49,,
T,2023-10-13 05:15:09,-33.91789224,151.23164092,4.30,48.155,22.181,1.149,267,45,49,,
T,2023-10-13 05:15:10,-33.91789328,151.23162456,4.31,48.148,22.181,1.148,266,45,49,,
T,2023-10-13 05:15:11,-33.91789403,151.23161278,4.26,47.897,22.181,1.139,268,45,49,,
T,2023-10-13 05:15:12,-33.91790192,151.23159316,4.41,47.901,22.181,0.968,266,45,49,,
T,2023-10-13 05:15:13,-33.91790822,151.23157188,4.47,47.888,22.181,0.850,264,45,49,,
T,2023-10-13 05:15:14,-33.91791195,151.23155267,4.87,48.065,22.181,0.938,262,45,49,,
T,2023-10-13 05:15:15,-33.91791746,151.23153471,4.70,48.307,22.181,1.005,260,44,49,,
T,2023-10-13 05:15:16,-33.91791680,151.23151775,4.70,48.365,22.181,1.046,265,44,49,,
T,2023-10-13 05:15:17,-33.91791468,151.23150278,4.70,48.302,22.181,1.075,267,45,49,,
T,2023-10-13 05:15:18,-33.91791640,151.23149114,4.70,48.344,22.181,1.099,265,45,49,,
T,2023-10-13 05:15:19,-33.91791657,151.23148281,4.70,48.276,22.181,0.941,265,46,49,,
T,2023-10-13 05:15:20,-33.91791327,151.23147446,4.68,48.243,22.181,0.821,266,46,49,,
T,2023-10-13 05:15:21,-33.91790841,151.23146889,4.25,48.173,22.181,0.914,270,45,49,,
T,2023-10-13 05:15:22,-33.91789890,151.23145959,4.12,48.187,22.181,1.026,277,45,49,,
T,2023-10-13 05:15:23,-33.91789656,151.23145250,4.30,48.221,22.181,1.018,280,45,49,,
T,2023-10-13 05:15:24,-33.91789228,151.23144613,4.52,48.114,22.181,1.012,280,45,49,,
T,2023-10-13 05:15:25,-33.91789238,151.23143635,4.56,48.311,22.181,0.839,280,45,49,,
T,2023-10-13 05:15:26,-33.91789551,151.23142470,4.67,48.424,22.181,0.834,277,46,49,,
T,2023-10-13 05:15:27,-33.91789181,151.23141168,4.48,48.355,22.181,1.016,278,46,49,,
T,2023-10-13 05:15:28,-33.91788512,151.23140041,4.27,48.076,22.181,1.231,280,46,49,,
T,2023-10-13 05:15:29,-33.91788415,151.23138968,3.99,48.000,22.181,1.133,280,46,49,,
T,2023-10-13 05:15:30,-33.91788396,151.23137579,4.03,47.989,22.181,0.917,284,46,49,,
T,2023-10-13 05:15:31,-33.91788172,151.23136311,4.02,47.784,22.182,0.989,283,46,49,,
T,2023-10-13 05:15:32,-33.91787840,151.23135034,4.27,47.649,22.182,0.829,283,47,49,,
T,2023-10-13 05:15:33,-33.91787653,151.23133557,4.47,47.587,22.182,0.829,281,48,49,,
T,2023-10-13 05:15:34,-33.91787382,151.23131911,4.75,47.242,22.182,0.953,281,48,49,,
T,2023-10-13 05:15:35,-33.91787109,151.23131033,4.95,47.414,22.182,1.015,282,48,49,,
T,2023-10-13 05:15:36,-33.91787202,151.23129823,4.70,47.353,22.182,1.005,278,48,49,,
T,2023-10-13 05:15:37,-33.91787097,151.23128592,4.70,47.072,22.182,1.041,279,48,49,,
T,2023-10-13 05:15:38,-33.91787038,151.23127296,4.70,47.052,22.182,1.034,280,48,49,,
T,2023-10-13 05:15:39,-33.91787037,151.23125949,4.70,47.065,22.182,0.887,280,48,49,,
T,2023-10-13 05:15:40,-33.91786890,151.23124812,4.70,46.664,22.182,0.796,283,48,49,,
T,2023-10-13 05:15:41,-33.91786795,151.23123481,4.70,46.473,22.182,0.982,284,48,49,,
T,2023-10-13 05:15:42,-33.91786415,151.23122214,4.70,46.109,22.182,1.050,288,48,49,,
T,2023-10-13 05:15:43,-33.91785952,151.23120946,4.70,46.076,22.182,1.041,289,48,49,,
T,2023-10-13 05:15:44,-33.91785529,151.23119593,4.70,46.012,22.182,1.072,286,47,49,,
T,2023-10-13 05:15:45,-33.91785185,151.23118381,4.70,45.981,22.182,1.053,287,47,49,,
T,2023-10-13 05:15:46,-33.91784859,151.23117417,4.70,45.883,22.182,0.999,277,48,49,,
T,2023-10-13 05:15:47,-33.91784656,151.23116466,4.70,45.706,22.182,0.988,288,48,49,,
T,2023-10-13 05:15:48,-33.91784749,151.23115244,4.70,45.462,22.182,1.097,279,48,49,,
T,2023-10-13 05:15:49,-33.91785271,151.23114009,4.70,45.200,22.182,0.988,266,48,49,,
T,2023-10-13 05:15:50,-33.91785928,151.23113331,4.70,44.915,22.182,0.718,218,48,49,,
T,2023-10-13 05:15:51,-33.91787458,151.23112835,4.70,44.629,22.182,0.846,204,48,49,,
T,2023-10-13 05:15:52,-33.91788748,151.23113120,4.70,44.558,22.182,0.921,191,48,49,,
T,2023-10-13 05:15:53,-33.91789490,151.23113895,4.70,44.533,22.182,0.922,184,48,49,,
T,2023-10-13 05:15:54,-33.91790741,151.23114632,4.70,44.472,22.182,0.962,176,48,49,,
T,2023-10-13 05:15:55,-33.91791517,151.23115490,4.74,44.500,22.182,1.078,169,48,49,,
T,2023-10-13 05:15:56,-33.91792355,151.23115638,4.60,44.295,22.182,0.969,176,48,49,,
T,2023-10-13 05:15:57,-33.91793389,151.23115474,4.69,44.038,22.182,0.967,178,48,49,,
T,2023-10-13 05:15:58,-33.91793697,151.23115861,4.91,43.888,22.182,1.136,178,48,49,,
T,2023-10-13 05:15:59,-33.91793871,151.23116644,4.86,43.921,22.182,1.129,174,48,49,,
T,2023-10-13 05:16:00,-33.91794131,151.23117257,4.70,43.848,22.182,1.092,174,48,49,,
T,2023-10-13 05:16:01,-33.91794714,151.23118570,4.70,44.151,22.182,1.096,165,48,49,,
T,2023-10-13 05:16:02,-33.91795003,151.23120174,4.70,44.441,22.181,0.940,158,48,49,,
T,2023-10-13 05:16:03,-33.91794606,151.23121578,4.70,44.360,22.181,0.879,155,48,49,,
T,2023-10-13 05:16:04,-33.91793978,151.23122945,4.70,44.739,22.181,1.018,151,48,49,,
T,2023-10-13 05:16:05,-33.91793398,151.23124121,4.70,44.900,22.181,1.055,151,48,49,,
T,2023-10-13 05:16:06,-33.91793903,151.23125051,4.70,45.042,22.181,0.902,147,48,49,,
T,2023-10-13 05:16:07,-33.91793928,151.23125771,4.70,45.101,22.181,0.788,110,48,49,,
T,2023-10-13 05:16:08,-33.91794457,151.23127345,4.45,45.184,22.181,0.895,113,48,49,,
T,2023-10-13 05:16:09,-33.91794460,151.23128489,3.92,45.348,22.181,1.034,108,48,49,,
T,2023-10-13 05:16:10,-33.91794668,151.23129018,4.09,45.316,22.181,1.124,126,48,49,,
T,2023-10-13 05:16:11,-33.91794602,151.23129517,4.37,45.303,22.181,1.128,113,48,49,,
T,2023-10-13 05:16:12,-33.91794585,151.23130651,4.90,45.259,22.181,1.135,22,48,49,,
T,2023-10-13 05:16:13,-33.91794621,151.23131966,4.70,45.363,22.181,1.137,123,49,50,,
T,2023-10-13 05:16:14,-33.91794979,151.23132941,4.70,45.213,22.181,1.178,125,49,50,,
T,2023-10-13 05:16:15,-33.91795064,151.23134402,4.70,45.001,22.181,1.265,122,49,50,,
T,2023-10-13 05:16:16,-33.91795034,151.23135085,4.70,44.776,22.181,1.278,126,49,50,,
T,2023-10-13 05:16:17,-33.91794774,151.23136406,4.70,44.629,22.181,1.270,118,49,50,,
T,2023-10-13 05:16:18,-33.91794311,151.23137575,4.99,44.667,22.181,1.270,114,49,50,,
T,2023-10-13 05:16:19,-33.91794399,151.23138224,4.70,44.448,22.181,1.060,115,48,49,,
T,2023-10-13 05:16:20,-33.91794306,151.23139482,4.70,44.411,22.181,0.894,106,48,49,,
T,2023-10-13 05:16:21,-33.91794253,151.23140587,4.36,44.403,22.181,1.220,91,48,49,,
T,2023-10-13 05:16:22,-33.91794418,151.23141516,3.88,44.408,22.181,1.472,100,48,49,,
T,2023-10-13 05:16:23,-33.91794554,151.23142827,3.83,44.349,22.181,1.462,100,48,49,,
T,2023-10-13 05:16:24,-33.91794585,151.23143491,3.66,44.191,22.181,1.488,106,48,49,,
T,2023-10-13 05:16:25,-33.91794706,151.23144300,3.69,44.332,22.181,1.440,107,48,49,,
T,2023-10-13 05:16:26,-33.91794364,151.23146330,3.69,43.888,22.181,1.190,101,48,49,,
T,2023-10-13 05:16:27,-33.91794321,151.23146945,3.75,43.846,22.181,1.164,79,48,49,,
T,2023-10-13 05:16:28,-33.91794562,151.23147580,3.55,43.687,22.181,1.331,81,48,49,,
T,2023-10-13 05:16:29,-33.91794891,151.23148627,3.66,43.495,22.181,1.109,82,48,49,,
T,2023-10-13 05:16:30,-33.91795310,151.23149906,3.51,43.347,22.181,0.956,93,47,49,,
T,2023-10-13 05:16:31,-33.91795510,151.23151068,3.59,43.733,22.181,1.014,101,47,49,,
T,2023-10-13 05:16:32,-33.91795306,151.23152113,3.66,43.901,22.181,1.048,95,47,49,,
T,2023-10-13 05:16:33,-33.91794980,151.23153419,3.76,43.833,22.181,0.906,94,47,49,,
T,2023-10-13 05:16:34,-33.91794488,151.23155051,3.60,43.758,22.181,0.796,82,47,49,,
T,2023-10-13 05:16:35,-33.91794023,151.23157246,3.49,43.504,22.181,0.891,83,47,49,,
T,2023-10-13 05:16:36,-33.91793373,151.23158895,3.54,43.239,22.181,0.961,82,47,49,,
T,2023-10-13 05:16:37,-33.91792837,151.23160115,3.46,43.269,22.181,1.002,90,47,49,,
T,2023-10-13 05:16:38,-33.91792900,151.23161166,3.51,43.422,22.181,0.864,89,47,49,,
T,2023-10-13 05:16:39,-33.91792017,151.23162572,3.44,43.486,22.181,0.777,89,47,49,,
T,2023-10-13 05:16:40,-33.91791090,151.23163695,3.44,43.515,22.181,1.128,74,46,49,,
T,2023-10-13 05:16:41,-33.91789949,151.23164679,3.41,43.455,22.181,1.204,72,45,48,,
T,2023-10-13 05:16:42,-33.91789096,151.23165788,3.36,43.140,22.181,1.018,71,45,48,,
T,2023-10-13 05:16:43,-33.91791475,151.23166122,3.46,42.728,22.181,1.046,92,45,48,,
T,2023-10-13 05:16:44,-33.91792341,151.23167563,3.43,42.784,22.181,0.897,96,45,48,,
T,2023-10-13 05:16:45,-33.91792772,151.23168832,3.55,43.327,22.181,0.807,98,45,48,,
T,2023-10-13 05:16:46,-33.91793492,151.23169476,3.55,43.058,22.181,0.905,88,47,49,,
T,2023-10-13 05:16:47,-33.91794957,151.23170174,3.84,42.884,22.181,0.971,82,47,49,,
T,2023-10-13 05:16:48,-33.91795773,151.23171283,3.86,42.594,22.181,1.021,80,47,49,,
T,2023-10-13 05:16:49,-33.91796260,151.23172271,4.22,42.387,22.181,0.878,81,47,49,,
T,2023-10-13 05:16:50,-33.91796716,151.23172886,4.24,42.426,22.181,0.781,96,47,49,,
T,2023-10-13 05:16:51,-33.91796974,151.23173444,4.27,42.602,22.181,0.886,97,47,49,,
T,2023-10-13 05:16:52,-33.91797132,151.23174903,4.35,42.717,22.181,1.245,98,47,49,,
T,2023-10-13 05:16:53,-33.91796940,151.23176282,4.51,43.011,22.180,1.542,94,47,49,,
T,2023-10-13 05:16:54,-33.91796629,151.23177580,4.61,43.038,22.180,1.302,88,47,49,,
T,2023-10-13 05:16:55,-33.91797249,151.23177746,4.70,43.298,22.180,1.066,100,47,49,,
