type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 05:12:30,-33.91793586,151.23211914,4.90,62.714,22.180,0.183,37,41,46,20231013-161230,GPS Logger: 20231013-161230 - 222
T,2023-10-13 05:12:31,-33.91793586,151.23211914,4.90,62.714,22.180,0.197,37,40,46,,
T,2023-10-13 05:12:32,-33.91793586,151.23211914,4.90,62.714,22.180,0.138,37,40,46,,
T,2023-10-13 05:12:33,-33.91793586,151.23211914,4.70,62.714,22.180,0.097,37,40,46,,
T,2023-10-13 05:12:34,-33.91793586,151.23211914,4.90,62.714,22.180,0.184,37,39,46,,
T,2023-10-13 05:12:35,-33.91793586,151.23211914,4.90,62.714,22.180,0.245,37,39,46,,
T,2023-10-13 05:12:36,-33.91793586,151.23211914,4.90,62.714,22.180,0.171,37,40,46,,
T,2023-10-13 05:12:37,-33.91793586,151.23211914,4.90,62.714,22.180,0.120,37,40,46,,
T,2023-10-13 05:12:38,-33.91793586,151.23211914,4.90,62.714,22.180,0.084,37,39,46,,
T,2023-10-13 05:12:39,-33.91793586,151.23211914,4.90,62.714,22.180,0.059,37,38,46,,
T,2023-10-13 05:12:40,-33.91793586,151.23211914,4.90,62.714,22.180,0.041,37,37,46,,
T,2023-10-13 05:12:41,-33.91793586,151.23211914,4.90,62.714,22.180,0.029,37,37,46,,
T,2023-10-13 05:12:42,-33.91793586,151.23211914,4.90,62.714,22.180,0.020,37,37,46,,
T,2023-10-13 05:12:43,-33.91793586,151.23211914,4.90,62.714,22.180,0.014,37,37,46,,
T,2023-10-13 05:12:44,-33.91793586,151.23211914,4.90,62.714,22.180,0.010,37,37,46,,
T,2023-10-13 05:12:45,-33.91793586,151.23211914,4.90,62.714,22.180,0.007,37,37,46,,
T,2023-10-13 05:12:46,-33.91793586,151.23211914,4.90,62.714,22.180,0.005,37,37,46,,
