,time,os,network interface,gps latitude,gps longitude,gps accuracy (meters),ssid,bssid,wi-fi standard,frequency,network channel,channel width (in mhz),rssi (in dbm),noise level (in dbm),public ip address,network delay (in ms)
0,1697165114,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-1,-1,-1,uniwide,00:b7:71:16:ea:ce,802.11ac,5 GHz,64,80,-88,,,
1,1697165114,Windows 10,Intel(R) Wireless-AC 9560 160MHz,-1,-1,-1,uniwide,08:cc:68:b5:d0:5e,802.11ac,5 GHz,100,80,-81,,,
